Disease_Name,Category,Severity_Level,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Medication_1,Medication_2,Medication_3,
Fabry Disease,Genetic/Metabolic,Severe,Pain in hands/feet,Skin lesions,Decreased sweating,GI problems,Cloudy vision,,,Enzyme therapy,Chaperone therapy,Pain relievers,
Glutaric Aciduria Type 1,Metabolic,Severe,Macrocephaly,Seizures,Low muscle tone,Motor delays,Vomiting,,,Carnitine,Low-protein diet,Emergency management,
Methylmalonic Acidemia,Metabolic,Severe,Metabolic crisis,Vomiting,Lethargy,Failure to thrive,Dehydration,,,Hydroxycobalamin,Carnitine,Special diet,
Propionic Acidemia,Metabolic,Severe,Coma,Seizures,Vomiting,Poor feeding,Low muscle tone,,,Biotin,Carnitine,Low-protein diet,
Leigh Syndrome,Neurological/Genetic,Severe,Respiratory issues,Developmental delay,Movement disorders,Muscle weakness,Vomiting,,,Supportive care,B-vitamin therapy,Mitochondrial cocktail,
Pyruvate Dehydrogenase Deficiency,Metabolic,Severe,Lactic acidosis,Seizures,Developmental delay,Poor feeding,Hypotonia,,,Ketogenic diet,Thiamine,Supportive care,
Zellweger Syndrome,Peroxisomal Disorder,Severe,Hypotonia,Seizures,Facial dysmorphism,Enlarged liver,Poor feeding,,,Supportive care,Nutritional support,Symptom-based therapy,
Niemann-Pick Disease,Genetic/Metabolic,Severe,Enlarged spleen,Cognitive decline,Ataxia,Lung issues,Feeding difficulties,,,Miglustat,Supportive care,Physical therapy,
Canavan Disease,Genetic/Neurological,Severe,Head enlargement,Developmental delay,Hypotonia,Seizures,Vision loss,,,Supportive care,Genetic counseling,Symptom management,
Angelman Syndrome,Genetic/Neurological,Moderate,Speech impairment,Seizures,Frequent laughter,Motor issues,Sleep disturbances,,,Anti-seizure meds,Behavior therapy,Physical therapy,
Phenylketonuria (PKU),Metabolic,Moderate,Musty odor,Developmental delays,Seizures,Eczema,Light skin/hair,,,Low-phenylalanine diet,Kuvan,Nutritional support,
Homocystinuria,Metabolic,Moderate,Blood clots,Developmental delays,Nearsightedness,Chest deformity,Tall thin build,,,Vitamin B6,Betaine,Low-methionine diet,
Citrullinemia,Metabolic,Severe,Ammonia build-up,Coma,Seizures,Vomiting,Lethargy,,,Arginine,Sodium benzoate,Protein restriction,
Maple Syrup Urine Disease,Metabolic,Severe,Sweet-smelling urine,Seizures,Vomiting,Poor feeding,Lethargy,,,Thiamine,Low-leucine diet,Dialysis in crises,
Krabbe Disease,Genetic/Neurological,Severe,Muscle stiffness,Irritability,Developmental delays,Vision loss,Fever,,,Hematopoietic stem cell transplant,Symptomatic care,Nutritional support,
Adrenoleukodystrophy,Genetic,Severe,Adrenal insufficiency,Muscle weakness,Behavioral issues,Seizures,Vision loss,,,Lorenzo's oil,Stem cell therapy,Corticosteroids,
Galactosemia,Metabolic,Severe,Liver damage,Jaundice,Vomiting,Poor feeding,Lethargy,,,Soy-based formula,Calcium supplements,Vitamin D,
Glycogen Storage Disease I,Metabolic,Severe,Low blood sugar,Lactic acidosis,Seizures,Enlarged liver,Growth retardation,,,Frequent feeding,Cornstarch therapy,Allopurinol,
Menkes Disease,Genetic/Neurological,Severe,Kinky hair,Developmental delay,Seizures,Poor muscle tone,Feeding problems,,,Copper histidinate,Physical therapy,Supportive care,
Carnitine Palmitoyltransferase Deficiency,Metabolic,Severe,Low blood sugar,Muscle pain,Liver dysfunction,Fatigue,Cardiomyopathy,,,Carnitine supplements,High-carb diet,Avoid fasting,
Argininosuccinic Aciduria,Metabolic,Severe,Ammonia build-up,Seizures,Vomiting,Irritability,Developmental delays,,,Arginine,Sodium benzoate,Protein restriction,
Alkaptonuria,Genetic/Metabolic,Moderate,Dark urine,Joint pain,Spine stiffness,Heart problems,Arthritis,,,Nitisinone,Pain relievers,Physical therapy,
Barth Syndrome,Genetic/Metabolic,Severe,Heart issues,Neutropenia,Muscle weakness,Fatigue,Growth delay,,,Cardiac meds,Antibiotics,Nutritional support,
Batten Disease,Neurological/Genetic,Severe,Seizures,Cognitive decline,Motor decline,Vision loss,Behavior issues,,,Anti-seizure meds,Symptom-based care,Physical therapy,
Bassen-Kornzweig Syndrome,Genetic,Moderate,Ataxia,Vision problems,Balance issues,Muscle weakness,Fatty stools,,,Vitamin E,Vitamin A,Nutritional therapy,
Bloom Syndrome,Genetic,Moderate,Sun sensitivity,Increased infections,Short stature,Narrow face,Learning disabilities,,,Sun protection,Antibiotics,Cancer screening,
Cockayne Syndrome,Genetic,Severe,Sensitivity to sunlight,Premature aging,Growth failure,Hearing loss,Vision problems,,,Sun protection,Physical therapy,Nutritional support,
Congenital Adrenal Hyperplasia,Genetic/Endocrine,Moderate,Electrolyte imbalance,Dehydration,Early puberty,Ambiguous genitalia,Fatigue,,,Hydrocortisone,Fludrocortisone,Salt supplements,
Congenital Hyperinsulinism,Metabolic,Severe,Low blood sugar,Coma,Seizures,Lethargy,Poor feeding,,,Diazoxide,Octreotide,Glucose infusions,
Creatine Transporter Deficiency,Metabolic,Severe,Intellectual disability,Seizures,Developmental delay,Behavior issues,Speech delay,,,Creatine supplementation,Physical therapy,Speech therapy,
Dandy-Walker Syndrome,Neurological/Genetic,Moderate,Enlarged skull,Seizures,Poor coordination,Developmental delay,Vision issues,,,Surgery (shunt),Physical therapy,Special education,
Dent Disease,Genetic/Renal,Moderate,Excess protein in urine,Kidney stones,Rickets,Bone pain,Frequent urination,,,Thiazide diuretics,Phosphate supplements,Vitamin D,
DiGeorge Syndrome,Genetic,Moderate,Heart defects,Poor immune function,Cleft palate,Developmental delays,Behavioral issues,,,Calcium supplements,Immune therapy,Heart surgery,
Dubin-Johnson Syndrome,Genetic/Liver,Mild,Jaundice,Abdominal pain,Fatigue,Nausea,Dark liver tissue,,,Symptom management,Avoid liver stressors,Regular monitoring,
Ehlers-Danlos Syndrome,Genetic/Connective Tissue,Moderate,Joint hypermobility,Chronic pain,Stretchy skin,Bruising,Fatigue,,,Pain relievers,Physical therapy,Surgery (rare),
Ellis-van Creveld Syndrome,Genetic,Moderate,Short limbs,Polydactyly,Heart defects,Tooth abnormalities,Nail issues,,,Cardiac surgery,Dental care,Orthopedic care,
Epidermolysis Bullosa,Genetic/Dermatological,Severe,Skin blistering,Painful wounds,Infection,Scarring,Nail loss,,,Wound care,Antibiotics,Pain management,
Fahr's Disease,Neurological,Severe,Movement disorders,Dementia,Seizures,Speech difficulties,Psychiatric symptoms,,,Anticonvulsants,Antipsychotics,Physical therapy,
Fanconi Anemia,Genetic/Bone Marrow,Severe,Bone marrow failure,Increased cancer risk,Developmental delay,Physical abnormalities,Fatigue,,,Androgens,Bone marrow transplant,Blood transfusion,
Gitelman Syndrome,Genetic/Kidney,Mild,Low magnesium,Muscle cramps,Fatigue,Dizziness,Thirst,,,Potassium supplements,Magnesium supplements,Salt tablets,
Glutaric Acidemia Type II,Metabolic,Severe,Hypoglycemia,Low muscle tone,Vomiting,Weakness,Developmental delay,,,Riboflavin,Carnitine,Low-fat diet,
Hereditary Angioedema,Genetic,Moderate,Swelling episodes,Breathing difficulty,Abdominal pain,Skin swelling,Fatigue,,,C1-inhibitor therapy,Icatibant,Berinert,
Hereditary Hemorrhagic Telangiectasia,Genetic,Moderate,Nosebleeds,GI bleeding,Skin spots,Fatigue,Anemia,,,Iron supplements,Laser therapy,Hormonal therapy,
Hypophosphatasia,Metabolic/Bone,Severe,Rickets,Bone pain,Muscle weakness,Delayed walking,Premature tooth loss,,,Asfotase alfa,Calcium supplements,Vitamin D,
Joubert Syndrome,Genetic/Neurological,Moderate,Breathing abnormalities,Developmental delay,Ataxia,Hypotonia,Vision issues,,,Supportive therapy,Physical therapy,Speech therapy,
Kabuki Syndrome,Genetic,Moderate,Distinct facial features,Intellectual disability,Heart defects,Growth delay,Hypotonia,,,Speech therapy,Physical therapy,Special education,
Kearns-Sayre Syndrome,Mitochondrial,Severe,Muscle weakness,Heart block,Vision problems,Hearing loss,Fatigue,,,Pacemaker,CoQ10 supplements,Symptom management,
Langerhans Cell Histiocytosis,Rare/Immune Disorder,Moderate,Bone lesions,Swollen lymph nodes,Skin rash,Fatigue,Fever,,,Chemotherapy,Steroids,Pain relievers,
Lipoid Congenital Adrenal Hyperplasia,Genetic,Severe,Salt-wasting crisis,Low blood pressure,Hypoglycemia,Dehydration,Lethargy,,,Hormone replacement,Hydrocortisone,Fludrocortisone,
Lowe Syndrome,Genetic,Moderate,Cataracts,Kidney dysfunction,Developmental delays,Behavior issues,Muscle weakness,,,Eye surgery,Physical therapy,Behavior therapy,
Maple Syrup Urine Disease Type II,Metabolic,Severe,Sweet-smelling urine,Lethargy,Seizures,Vomiting,Irritability,,,Thiamine,Low-protein diet,Dialysis in crisis,
Achalasia,Digestive Disorder,Moderate,Difficulty swallowing,Chest pain,Regurgitation,Heartburn,Weight loss,Nighttime coughing,Aspiration risk,Nifedipine,Botox injection,Pneumatic dilation,
Acromegaly,Hormonal Disorder,Chronic,Enlarged hands/feet,Headache,Joint pain,Vision problems,Fatigue,Coarse facial features,Sleep apnea,Octreotide,Bromocriptine,Pegvisomant,
Acanthosis Nigricans,Skin Condition,Mild,Dark skin patches,Velvety texture,Thickened skin,Itching,Skin tags,,,Topical retinoids,Metformin,Lifestyle change,
Acoustic Neuroma,Neurological Disorder,Moderate,Hearing loss,Tinnitus,Balance issues,Facial numbness,Headache,,,Surgical removal,Radiation therapy,Observation,
Addisonian Crisis,Hormonal Emergency,Severe,Severe fatigue,Vomiting,Low blood pressure,Confusion,Muscle pain,Dehydration,Shock,Hydrocortisone injection,IV fluids,Fludrocortisone,
Aicardi Syndrome,Genetic Disorder,Severe,Seizures,Eye abnormalities,Intellectual delay,Corpus callosum agenesis,Muscle stiffness,,,Anticonvulsants,Occupational therapy,Supportive care,
Alkaptonuria,Metabolic Disorder,Moderate,Dark urine,Joint pain,Heart valve problems,Skin discoloration,Back pain,Stiffness,,Pain relievers,Nitisinone,Vitamin C,
Amniotic Band Syndrome,Congenital Condition,Varies,Limb deformities,Swelling,Restricted movement,Scarring,,,,Surgery,Prosthetics,Physical therapy,
Angelman Syndrome,Genetic Disorder,Severe,Developmental delay,Seizures,Happy demeanor,Ataxia,Speech issues,Sleep problems,,Anticonvulsants,Behavior therapy,Supportive care,
Anencephaly,Neural Tube Defect,Fatal,Absence of major brain parts,No consciousness,Stillbirth risk,,,,,No treatment,Prenatal diagnosis,Supportive counseling,
Antiphospholipid Syndrome,Autoimmune Disorder,Moderate,Blood clots,Miscarriage,Stroke symptoms,Headaches,Skin rash,Seizures,,Blood thinners,Aspirin,Warfarin,
Aplastic Anemia,Blood Disorder,Severe,Fatigue,Infection,Bleeding gums,Pallor,Rapid heartbeat,Shortness of breath,,Blood transfusion,Immunosuppressants,Bone marrow transplant,
Argyria,Toxic Condition,Mild,Blue-gray skin color,Skin darkening,,,,,,Stop silver exposure,Skin bleaching agents,Sunscreen,
Arrhythmogenic Cardiomyopathy,Heart Disease,Severe,Irregular heartbeat,Fainting,Chest pain,Fatigue,Palpitations,Heart failure,,Beta-blockers,Implantable defibrillator,Antiarrhythmic drugs,
Aspergillosis,Fungal Infection,Moderate,Cough,Wheezing,Chest pain,Fever,Weight loss,Coughing blood,,Antifungal medication,Surgery (if severe),Steroids (allergic form),
Ataxia Telangiectasia,Genetic Disorder,Severe,Coordination issues,Slurred speech,Frequent infections,Dilated blood vessels,Cancer risk,Involuntary movements,,Supportive care,Physical therapy,Immunoglobulin therapy,
Atypical Pneumonia,Respiratory Infection,Moderate,Dry cough,Fever,Fatigue,Chest discomfort,Shortness of breath,Chills,,Azithromycin,Doxycycline,Fluoroquinolones,
Autoimmune Hepatitis,Liver Disorder,Chronic,Fatigue,Abdominal pain,Jaundice,Joint pain,Nausea,Loss of appetite,,Prednisone,Azathioprine,Immunosuppressants,
Avian Influenza (Bird Flu),Viral Infection,Severe,High fever,Cough,Sore throat,Muscle aches,Conjunctivitis,Breathing difficulty,,Oseltamivir,Zanamivir,Supportive care,
Babesiosis,Parasitic Infection,Moderate,Fever,Chills,Fatigue,Muscle aches,Jaundice,Sweating,,Atovaquone,Azithromycin,Clindamycin,
Balantidiasis,Parasitic Infection,Moderate,Diarrhea,Abdominal cramps,Nausea,Vomiting,Weight loss,,,Tetracycline,Metronidazole,Supportive fluids,
Behçet’s Disease,Autoimmune Disorder,Moderate,Mouth ulcers,Genital sores,Eye inflammation,Joint pain,Skin lesions,Fever,,Corticosteroids,Colchicine,Immunosuppressants,
Berylliosis,Occupational Lung Disease,Moderate,Cough,Shortness of breath,Fatigue,Chest pain,Weight loss,Night sweats,,Corticosteroids,Oxygen therapy,Avoid exposure,
Beta Thalassemia,Blood Disorder,Severe,Fatigue,Pallor,Bone deformities,Delayed growth,Jaundice,Enlarged spleen,,Blood transfusion,Iron chelation therapy,Folic acid,
Blastomycosis,Fungal Infection,Moderate,Fever,Cough,Chest pain,Muscle aches,Skin sores,Weight loss,,Itraconazole,Amphotericin B,Supportive care,
Boerhaave Syndrome,GI Emergency,Severe,Severe chest pain,Vomiting,Fever,Subcutaneous emphysema,Shock,Difficulty breathing,,Emergency surgery,Antibiotics,Fluids and nutrition,
Botulism,Neurotoxin Illness,Severe,Muscle weakness,Vision problems,Dry mouth,Drooping eyelids,Difficulty swallowing,Paralysis,,Antitoxin,Supportive care,Respiratory support,
Brucellosis,Bacterial Infection,Moderate,Fever,Joint pain,Sweating,Fatigue,Headache,Muscle pain,,Doxycycline,Rifampin,Streptomycin,
Campylobacteriosis,Bacterial Infection,Mild,Diarrhea,Abdominal cramps,Fever,Nausea,Vomiting,,,Azithromycin,Ciprofloxacin,Hydration,
Capgras Syndrome,Psychiatric Disorder,Moderate,Delusions,Believing loved ones replaced,Confusion,Anxiety,Paranoia,Hallucinations,,Antipsychotics,Psychotherapy,Mood stabilizers,
Carcinoid Syndrome,Cancer Syndrome,Moderate,Flushing,Diarrhea,Wheezing,Heart palpitations,Abdominal pain,,,Octreotide,Lanreotide,Surgery (if tumor found),
Carpal Tunnel Syndrome,Neurological Disorder,Moderate,Numbness in fingers,Tingling sensation,Hand weakness,Wrist pain,Difficulty gripping,Hand swelling,,NSAIDs,Wrist splint,Corticosteroid injection,
Cat Scratch Disease,Bacterial Infection,Mild,Swollen lymph nodes,Fatigue,Fever,Headache,Sore at scratch site,Loss of appetite,,Azithromycin,Rifampin,Pain relievers,
Celiac Disease,Autoimmune Disorder,Chronic,Diarrhea,Bloating,Weight loss,Fatigue,Skin rash,Anemia,Abdominal pain,Gluten-free diet,Iron supplements,Corticosteroids (if needed),
Cellulitis,Skin Infection,Moderate,Red skin,Swelling,Pain,Warmth,Fever,Blisters,,Antibiotics,Pain relievers,Warm compress,
Cerebral Palsy,Neurological Disorder,Chronic,Muscle stiffness,Poor coordination,Speech difficulties,Seizures,Motor delay,Difficulty walking,Intellectual impairment,Muscle relaxants,Physical therapy,Surgery,
Cervical Spondylosis,Musculoskeletal Disorder,Moderate,Neck pain,Stiffness,Headaches,Shoulder pain,Numbness in arms,Tingling,,Painkillers,Physical therapy,Muscle relaxants,
Chagas Disease,Parasitic Infection,Moderate,Fever,Swelling at bite,Fatigue,Rash,Swollen eyelids,Heart complications,,Benznidazole,Nifurtimox,Supportive care,
Charcot-Marie-Tooth Disease,Genetic Neuropathy,Chronic,Muscle weakness,Foot deformities,Balance issues,Decreased reflexes,Numbness in legs,High arches,,Physical therapy,Orthopedic devices,Pain management,
Chikungunya,Viral Infection,Moderate,Fever,Joint pain,Headache,Rash,Muscle pain,Nausea,,Paracetamol,NSAIDs,Fluids & rest,
Cholecystitis,Digestive Disorder,Moderate,Abdominal pain,Nausea,Vomiting,Fever,Jaundice,Indigestion,,Antibiotics,Pain relievers,Cholecystectomy,
Cholera,Bacterial Infection,Severe,Watery diarrhea,Dehydration,Vomiting,Muscle cramps,Rapid heartbeat,Dry mouth,,ORS (oral rehydration),Doxycycline,Zinc supplements,
Chronic Fatigue Syndrome,Neurological Disorder,Chronic,Extreme fatigue,Muscle pain,Sleep problems,Memory loss,Sore throat,Swollen lymph nodes,Headache,Antidepressants,Pain relievers,CBT (therapy),
Chronic Kidney Disease,Renal Disorder,Chronic,Fatigue,Swelling in legs,Urination issues,Nausea,Shortness of breath,Confusion,,ACE inhibitors,Dialysis,Kidney transplant,
Chronic Obstructive Pulmonary Disease (COPD),Respiratory Disorder,Chronic,Chronic cough,Wheezing,Shortness of breath,Chest tightness,Frequent infections,Fatigue,,Bronchodilators,Inhaled steroids,Oxygen therapy,
Ciguatera Fish Poisoning,Toxic Condition,Moderate,Nausea,Vomiting,Diarrhea,Muscle aches,Itching,Numbness,Cold sensation reversal,Mannitol,Antihistamines,Supportive care,
Cleft Lip and Palate,Congenital Disorder,Moderate,Facial deformity,Feeding difficulty,Ear infections,Speech delay,Breathing issues,,,Surgery,Speech therapy,Hearing support,
Clostridium Difficile Infection,Bacterial Infection,Severe,Diarrhea,Abdominal cramps,Fever,Nausea,Dehydration,Loss of appetite,,Vancomycin,Fidaxomicin,Metronidazole,
Cluster Headache,Neurological Disorder,Severe,Severe head pain,Red watery eye,Nasal congestion,Restlessness,Facial sweating,Swollen eyelid,,Sumatriptan,Oxygen therapy,Verapamil,
Coccidioidomycosis (Valley Fever),Fungal Infection,Moderate,Fever,Chest pain,Cough,Fatigue,Rash,Joint pain,,Fluconazole,Itraconazole,Amphotericin B,
Cold Agglutinin Disease,Autoimmune Disorder,Moderate,Fatigue,Pale skin,Cold sensitivity,Jaundice,Dark urine,Raynaud's phenomenon,,Rituximab,Folic acid,Avoid cold exposure,
Colorectal Cancer,Cancer,Severe,Blood in stool,Abdominal pain,Weight loss,Fatigue,Bowel habit change,Cramps,Nausea,Chemotherapy,Radiation therapy,Surgery,
Congenital Heart Defect,Congenital Disorder,Severe,Cyanosis,Rapid breathing,Fatigue,Poor feeding,Swelling in legs,Murmurs,Shortness of breath,Surgery,Diuretics,ACE inhibitors,
Conjunctivitis (Pink Eye),Eye Infection,Mild,Red eyes,Itching,Tearing,Discharge,Gritty sensation,Swollen eyelids,Light sensitivity,Antihistamines,Antibiotic drops,Lubricating eye drops,
Cough Variant Asthma,Respiratory Disorder,Moderate,Persistent dry cough,Worse at night,Shortness of breath,Wheezing,Chest tightness,Cough post-exercise,Fatigue,Inhalers,Leukotriene modifiers,Corticosteroids,
Creutzfeldt-Jakob Disease,Neurological Disorder,Severe,Rapid dementia,Muscle stiffness,Seizures,Mood swings,Vision problems,Speech impairment,Memory loss,Supportive care,Anticonvulsants,Sedatives,
Crohn's Disease,Autoimmune Disorder,Chronic,Diarrhea,Abdominal pain,Fatigue,Weight loss,Mouth sores,Blood in stool,Fever,Anti-inflammatories,Immunosuppressants,Biologics,
Croup,Respiratory Infection,Mild,Barking cough,Hoarseness,Fever,Stridor,Runny nose,Difficulty breathing,,Steroids,Humidified air,Acetaminophen,
Cryptococcosis,Fungal Infection,Severe,Headache,Fever,Stiff neck,Nausea,Sensitivity to light,Confusion,Cough,Amphotericin B,Fluconazole,Flucytosine,
Cushing's Syndrome,Endocrine Disorder,Moderate,Weight gain,Purple stretch marks,High blood pressure,Fat buildup,Mood swings,Weak muscles,Irregular periods,,Ketoconazole,Metyrapone,Surgery (if tumor)
Cystic Fibrosis,Genetic Disorder,Severe,Persistent cough,Thick mucus,Lung infections,Shortness of breath,Wheezing,Poor growth,Salty skin,,Pancreatic enzymes,Inhalers,Antibiotics
Cytomegalovirus (CMV),Viral Infection,Moderate,Fever,Fatigue,Swollen glands,Sore throat,Rash,Muscle aches,Loss of appetite,,Antivirals,Pain relievers,Rest
Deep Vein Thrombosis (DVT),Cardiovascular Condition,Severe,Leg swelling,Pain in leg,Redness,Warmth,Tenderness,Cramps,,,Blood thinners,Compression stockings,Thrombolytics
Dengue Fever,Viral Infection,Severe,High fever,Bleeding gums,Severe headache,Muscle/joint pain,Rash,Fatigue,Nausea,,Acetaminophen,IV fluids,Platelet transfusion (if needed)
Dental Abscess,Dental Infection,Moderate,Severe toothache,Swelling,Pain when chewing,Fever,Swollen lymph nodes,Bad breath,,,Antibiotics,Pain relievers,Root canal/surgery
Depression,Mental Health Condition,Moderate,Persistent sadness,Suicidal thoughts,Fatigue,Sleep disturbances,Lack of interest,Appetite change,Difficulty concentrating,,SSRIs,SNRIs,Psychotherapy
Dermatitis Herpetiformis,Autoimmune Disorder,Moderate,Itchy rash,Blisters,Burning skin,Painful bumps,Red patches,,,,Dapsone,Gluten-free diet,Corticosteroids
Diabetes Mellitus Type 1,Endocrine Disorder,Chronic,Excessive thirst,Frequent urination,Weight loss,Fatigue,Hunger,Blurred vision,Irritability,,Insulin injections,Glucose monitoring,Diet management
Diabetes Mellitus Type 2,Endocrine Disorder,Chronic,Fatigue,Frequent urination,Increased thirst,Numbness in limbs,Weight gain,Blurred vision,Slow healing,,Metformin,Sulfonylureas,Lifestyle changes
Diabetic Ketoacidosis,Metabolic Emergency,Severe,Fruity breath,Rapid breathing,Confusion,Vomiting,Abdominal pain,Fatigue,Nausea,Insulin therapy,IV fluids,Electrolyte replacement,
Diaper Rash,Skin Irritation,Mild,Red rash in diaper area,Blisters,Irritability,Swelling,Warm skin,,,Barrier creams,Antifungal cream,Frequent diaper change,
Diphtheria,Bacterial Infection,Severe,Difficulty breathing,Gray membrane in throat,Sore throat,Fever,Swollen glands,Hoarseness,Weakness,Antitoxin,Antibiotics (penicillin),Erythromycin,
Diverticulitis,Digestive Disorder,Moderate,Abdominal pain,Tender abdomen,Fever,Bloating,Nausea,Constipation,,Antibiotics,Liquid diet,Pain relievers,
Down Syndrome,Genetic Disorder,Moderate,Developmental delays,Intellectual disability,Distinct facial features,Hearing loss,Vision problems,Poor muscle tone,Short stature,Supportive therapies,Educational programs,Speech therapy,
Dry Eye Syndrome,Eye Disorder,Mild,Burning sensation,Gritty feeling,Blurred vision,Redness,Light sensitivity,Eye fatigue,,Artificial tears,Cyclosporine drops,Warm compress,
Ebola Virus Disease,Viral Infection,Severe,Fever,Bleeding,Vomiting,Diarrhea,Severe weakness,Rash,Muscle pain,IV fluids,Antivirals (experimental),Oxygen therapy,
Eclampsia,Pregnancy Complication,Severe,Seizures,High blood pressure,Confusion,Blurred vision,Headache,Swelling,Abdominal pain,Magnesium sulfate,Antihypertensives,Emergency delivery,
Eczema (Atopic Dermatitis),Skin Condition,Mild,Itching,Dry skin,Red patches,Cracked skin,Thickened skin,Rash,,Moisturizers,Steroid creams,Antihistamines,
Encephalitis,Neurological Infection,Severe,Confusion,Seizures,Fever,Headache,Drowsiness,Muscle weakness,Sensitivity to light,Antivirals,Anti-seizure meds,Supportive care,
Endometriosis,Reproductive Disorder,Moderate,Pelvic pain,Painful menstruation,Pain during sex,Infertility,Painful urination,Fatigue,Bloating,Hormone therapy,Pain relievers,Laparoscopic surgery,
Enteric Fever (Typhoid),Bacterial Infection,Severe,Prolonged fever,Abdominal pain,Headache,Constipation/diarrhea,Rash,Weakness,Loss of appetite,Ciprofloxacin,Azithromycin,Fluids,
Epiglottitis,Respiratory Infection,Severe,Difficulty breathing,Severe sore throat,Drooling,Difficulty swallowing,Muffled voice,Fever,Anxiety,Antibiotics,Corticosteroids,Emergency airway support,
Epilepsy,Neurological Disorder,Moderate,Seizures,Loss of awareness,Confusion,Staring spells,Muscle stiffness,Jerking movements,Fatigue,Antiepileptic drugs (AEDs),Vagus nerve stimulator,Surgery,
Erectile Dysfunction,Urological Condition,Moderate,Inability to maintain erection,Reduced libido,Depression,Stress or anxiety,Relationship problems,Fatigue,,Sildenafil,Tadalafil,Counseling,
Esophageal Cancer,Cancer,Severe,Difficulty swallowing,Weight loss,Chest pain,Hoarseness,Chronic cough,Heartburn,Fatigue,Chemotherapy,Radiation therapy,Surgery,
Essential Tremor,Neurological Disorder,Mild,Involuntary shaking,Trembling hands,Head nodding,Voice tremor,Difficulty writing,Balance issues,,Beta blockers,Anti-seizure drugs,Physical therapy,
Fatty Liver Disease,Liver Condition,Moderate,Fatigue,Abdominal discomfort,Weight loss,Enlarged liver,Jaundice,Weakness,,Lifestyle change,Vitamin E,Pioglitazone,
Febrile Seizures,Pediatric Condition,Mild,Seizures during fever,High body temperature,Loss of consciousness,Body stiffening,Eye rolling,Confusion post-seizure,,Fever reducers,Antipyretics,Emergency observation,
Fibromyalgia,Musculoskeletal Disorder,Moderate,Widespread pain,Fatigue,Sleep disturbances,Brain fog,Depression,Sensitivity to touch,,Pain relievers,Antidepressants,Physical therapy,
Gastroenteritis,Viral/Bacterial Infection,Moderate,Dehydration,Diarrhea,Vomiting,Fever,Nausea,Abdominal cramps,Headache,Rehydration salts,Antiemetics,Antipyretics,
Genital Herpes,Viral Infection,Moderate,Painful blisters,Ulcers,Burning during urination,Tingling,Itching,Flu-like symptoms,Swollen lymph nodes,Acyclovir,Valacyclovir,Famciclovir,
Genital Warts,Viral Infection,Mild,Fleshy growths,Bleeding (rare),Pain during intercourse,Itching,Swelling,Discomfort,,Imiquimod cream,Cryotherapy,Trichloroacetic acid,
Giardiasis,Parasitic Infection,Moderate,Dehydration,Diarrhea,Weight loss,Stomach cramps,Fatigue,Nausea,Gas,Metronidazole,Tinidazole,Nitazoxanide,
Glaucoma,Eye Condition,Moderate,Loss of peripheral vision,Eye pain,Blurred vision,Halos around lights,Red eyes,Headache,Nausea,Beta-blocker eye drops,Prostaglandin drops,Surgery,
Gout,Metabolic Disorder,Moderate,Joint pain,Swelling,Warmth in joints,Redness,Stiffness,Fever,Tophi (in chronic cases),NSAIDs,Colchicine,Allopurinol,
Graves’ Disease,Autoimmune Disorder,Moderate,Rapid heartbeat,Bulging eyes,Tremors,Weight loss,Anxiety,Heat intolerance,Sleep issues,Antithyroid drugs,Beta-blockers,Radioactive iodine,
Guillain-Barré Syndrome,Neurological Disorder,Severe,Paralysis,Breathing difficulty,Muscle weakness,Heart rate problems,Tingling sensation,Pain,Loss of reflexes,IV immunoglobulin (IVIG),Plasmapheresis,Pain relievers,
Gum Disease (Periodontitis),Dental Disorder,Mild,Loose teeth,Painful chewing,Bleeding gums,Swollen gums,Gum recession,Bad breath,Sensitivity,Antibacterial mouthwash,Scaling/root planing,Antibiotics,
H1N1 (Swine Flu),Viral Infection,Moderate,Fever,Cough,Fatigue,Vomiting,Sore throat,Body aches,Chills,Oseltamivir (Tamiflu),Zanamivir,Rest and fluids,
Haemophilia,Genetic Disorder,Severe,Excessive bleeding,Muscle bleeds,Joint pain,Swelling,Easy bruising,Blood in urine/stool,Nosebleeds,Clotting factor replacement,Desmopressin,Antifibrinolytics,
"Hand, Foot and Mouth Disease",Viral Infection,Mild,Mouth sores,Rash on hands/feet,Fever,Irritability,Sore throat,Fatigue,Loss of appetite,Pain relievers,Mouth rinses,Fluids,
Hashimoto's Thyroiditis,Autoimmune Disorder,Moderate,Fatigue,Weight gain,Cold intolerance,Puffy face,Depression,Dry skin,Constipation,Levothyroxine,Selenium supplements,Vitamin D supplements,
Hay Fever (Allergic Rhinitis),Allergic Condition,Mild,Sneezing,Runny nose,Itchy eyes,Nasal congestion,Watery eyes,Postnasal drip,Cough,Antihistamines,Nasal corticosteroids,Decongestants,
Head Lice,Parasitic Infestation,Mild,Itchy scalp,Visible lice or nits,Red bumps on scalp,Sleeplessness,Irritability,Tickling feeling,,Permethrin lotion,Malathion,Wet combing,
Heart Attack (Myocardial Infarction),Cardiovascular Disease,Severe,Chest pain,Shortness of breath,Sweating,Arm/jaw pain,Nausea,Lightheadedness,Anxiety,Aspirin,Nitroglycerin,Beta-blockers,
Heart Failure,Cardiovascular Disease,Severe,Shortness of breath,Swelling in legs,Fatigue,Chest congestion,Rapid heartbeat,Persistent cough,Weight gain,ACE inhibitors,Diuretics,Beta-blockers,
